Componente,Estacion,Demanda_Estacion,EOQ,Stock_Seguridad,ROP,CTE
Motor de Alto Rendimiento V8,PICO,171.16721176047193,18.50228157609066,3.231545989769682,121.82314767138996,6520.148269758103
Carrocería Artesanal de Época,PICO,92.16696017871564,11.75799473839283,2.4608210125502077,130.17485359275662,5687.526300377214
Carrocería Estándar (Fibra),PICO,92.16696017871564,10.51667020565249,2.2464119642607536,108.6747724477661,6381.5410849566215
Transmisión de 5 Velocidades,PICO,171.16721176047193,21.771575723647974,2.63854625175765,81.6996140395045,5288.859761337884
Sistema de Inyección Electrónica,PICO,263.33417193918757,36.800679709970325,4.059301925781,125.69171390692999,4766.997857504321
Set de Carburadores Dobles,PICO,171.16721176047193,50.670584922685464,2.285048083082336,61.580848923892475,2118.225320230712
Tapicería de Cuero Premium,PICO,92.16696017871564,42.93412632829872,1.5884531332673713,54.802633375020044,1335.6773838469826
Juego de Llantas Vintage Espec.,PICO,263.33417193918757,34.4238837687781,5.740719837206713,249.0055437995047,5355.280480797974
Llantas Regulares Cromados,PICO,368.66784071486256,51.52095159395846,25.41525013227794,238.27197109928863,6411.350143853033
Cubiertas de Alta Gama (Neumáticos),PICO,684.6688470418877,175.52805507064946,29.851743153474906,187.9738787289686,2738.397309654991
Componente Genérico,PICO,1053.3366877567503,275.3910701502248,45.925758697653706,289.1905826599517,2677.640240398987
