Componente,Estacion,Demanda_Estacion,EOQ,Stock_Seguridad,ROP,CTE
Motor de Alto Rendimiento V8,NORMAL,277.775082056536,10.54087438605614,3.231258444944162,41.72203194007618,20658.199246500455
Motor de Cilindros en Línea Raro,NORMAL,149.57119803044245,6.698608766686761,2.46060204727757,43.912204272804345,18318.421627928663
Carrocería Artesanal de Época,NORMAL,149.57119803044245,5.991417822795051,2.246212077228864,36.78921393183451,20594.07475005979
Carrocería Estándar (Fibra),NORMAL,277.775082056536,12.403413273422451,2.6383114723907495,28.298827135812093,16295.201807964302
Transmisión de 5 Velocidades,NORMAL,427.3462800869785,20.965595002378283,4.058940726754999,43.536657132018604,14597.645841994417
Sistema de Inyección Electrónica,NORMAL,277.775082056536,28.86737338535683,2.2848447581863156,21.530231505752326,6230.44362870863
Set de Carburadores Dobles,NORMAL,149.57119803044245,24.459860836107993,1.5883117917916507,18.859812719094474,3907.225894184947
Tapicería de Cuero Premium,NORMAL,427.3462800869785,19.611518352189883,5.740209024645427,84.69564183517264,16901.151584556876
Juego de Llantas Vintage Espec.,NORMAL,598.2847921217698,29.351833003329595,25.41298866866641,94.49899237787771,22818.675696665003
Llantas Regulares Cromados,NORMAL,1111.100328226144,99.99951476899923,29.84908692815622,81.1701182549989,8656.57344647703
Cubiertas de Alta Gama (Neumáticos),NORMAL,1709.385120347914,156.89214681751906,45.92167219716342,124.87710500769063,8450.575792278438
